month,realized_net_apy,borrow_pyusd,borrow_usdc,depl_stcusd,depl_paypal_main_total,depl_paypal_main_organic,spread,organic_spread,notes,actual_borrow_apy,actual_deploy_organic_apy,actual_deploy_reward_apy,avg_debt_usd,avg_deployed_usd,carry_contrib_to_nav_apy,vault_token_incentives_to_nav_apy,platform_fee_bps_avg,avg_nav_btc,hypo_current_structure_spread,hypo_current_structure_organic_spread
2024-12,,,18.398,,,,,,Launch month; ~0.001 share test deposits; first Aave USDC borrow (1 USDC) and USD0++/Usual test positions (20 Dec).,,,,0.502,5.325,,,150.197,0.001,,
2025-01,9.552,,13.253,,,,5.247,5.247,"Deposits 220 BTC. BTC-side: PT-LBTC Morpho loop (borrow 30 WBTC vs PT-LBTC), Pendle PTs (liquidBeraBTC, LBTC), MEV Capital Pendle WBTC vault. Stable leg: Morpho WBTC/USDT 4.2M -> MEV Capital Usual USDC. 120.1k ETHFI (~$152k in Jan) sent by a Safe and sold -> rate steps +0.38%/+0.24% (22/28 Jan). APY from first rate update 9 Jan.",9.157,14.394,0.0,2107708.112,2109201.841,1.055,17.05,163.174,107.084,,
2025-02,8.621,,8.872,,,,7.469,5.794,"NAV peak-1 (609 BTC). Debt up to $18.8M: Aave USDC 4.4M, Morpho WBTC/USDC 5.2M, eBTC/USDC 8.9M, eBTC/USR 0.3M -> Usual USDC (16.8M) + MC-USR. ETHFI sale $35k (6 Feb +0.23%). MORPHO claims $15k.",5.949,11.731,1.673,11502442.032,11514363.244,2.237,1.192,200.0,411.341,,
2025-03,-0.153,,4.755,,,,0.986,-0.186,"Stable leg $19M (Usual USDC 5.5M, MC-USR 10.1M). Rate flat/negative from mid-March: USD0++/Usual yields collapsed while Morpho USDC borrow ~5-10%.",5.928,5.737,1.17,18929396.121,18945222.751,0.363,,200.0,616.63,,
2025-04,-0.418,,3.287,,,,-2.639,-6.297,"Big unwind 9-10 Apr: Morpho USDC/USR debt repaid, Usual & MC-USR exited; Aave USDC 3M vs Curve USDC/fxUSD LP (Convex) remains. 100 eBTC bridged to Berachain 24-28 Apr (points). Negative carry month.",9.19,2.893,3.658,11040101.511,11040556.565,-0.522,,130.72,631.496,,
2025-05,0.041,,4.895,,,,2.525,-4.375,Aave USDC 3.0M vs fxUSD LP 3.0M (fxUSD LP + FXN/CRV ~$17.5k). Berachain eBTC back 16 May. Fee 1%->0% (20 May).,5.015,0.645,6.953,3017148.963,2994192.587,0.136,,61.864,563.254,,
2025-06,-0.072,,4.449,,,,-5.007,-5.007,No stablecoin debt. 150 BTC (90 BTCN + 60 LBTC) bridged to Corn 2-3 Jun (points). Rate ~flat: pure BTC points strategy.,5.315,0.311,0.0,1511710.775,1493712.905,-0.137,,0.0,521.232,,
2025-07,0.008,,8.327,,,,,,No debt. Whale deposit 380 shares (16-18 Jul) -> NAV peak 836 BTC. Rate flat.,,,,3.253,41.729,,,0.0,701.444,,
2025-08,0.267,,7.522,,,,5.354,3.384,Whale exit 381 shares (11 Aug). ITB #1 starts 8-14 Aug: 150 eBTC on Aave -> RLUSD -> Euler eRLUSD-1 (+Merkl RLUSD).,4.694,8.061,1.966,1270432.855,1273189.893,0.093,,0.0,650.506,,
2025-09,1.083,2.821,5.96,12.254,,,5.481,1.784,ITB #1 scaled to $10.2M RLUSD debt (HF 1.2).,4.506,6.272,3.688,6379034.028,6396135.44,0.679,,0.0,463.454,,
