date,venue,chain,role,collateral,collateral_amount,collateral_usd,debt_asset,debt_usd,ltv,lltv_or_lt,liq_price_usd,source,note
2026-09-20 12:00 UTC,Morpho Blue cbBTC/USDT (0x4fe72543…),Ethereum,BTC collateral + dollar loan,cbBTC,126.0002,10114797,USDT,5802800,0.5737,0.86,53551,RPC position() at block 26018582; oracle 0x9f98…34d2,daily borrow APY 2.97% (Morpho API 09-21); instantaneous 9.40% at API read 09-21
2026-09-20 12:00 UTC,Spark (SparkLend) cbBTC -> USDS,Ethereum,BTC collateral + dollar loan,cbBTC (spcbBTC),113.416,9104587,USDS,4955984,0.5443,0.82,53290,getUserAccountData + spcbBTC/vdUSDS balances at block 26018582,HF 1.507; USDS variable rate 3.93%
2026-09-20 12:00 UTC,Aave v3 Core,Ethereum,idle collateral,WBTC (aEthWBTC),1.3643,109521,,0,0,0.78,,RPC at block 26018582,no debt
2026-09-20 12:00 UTC,TOTAL BTC posted vs dollar debt,Ethereum,carry leg,cbBTC+WBTC,240.7805,19328905,USDT+USDS,10758784,0.5566,,~53.3-53.6k,sum of above,"LTV 52.0% at BTC $86,488 (09-22)"
2026-09-22,"Euler ""Hyperithm Earn cbBTC"" (hyperEcbBTC; EVK ecbBTC-4 60.01 + ecbBTC-6 9.41)",Monad,BTC lent,cbBTC,69.4233,5573028,,0,,,,RPC balanceOf/convertToAssets 2026-09-22 (no public Monad archive),"strategy owns ~100% of the Euler Earn vault; ecbBTC-4 lends only against eaHyperBTC-1 (Hyperithm Accountable vault) at 94% utilisation, borrow APR ~2.26%"
2026-09-22,"Morpho V2 ""Hyperithm cbBTC Apex"" (0xe09A…8Ea0)",Monad,BTC lent,cbBTC,35.0545,2814036,,0,,,,RPC convertToAssets 2026-09-22,"vault lends to mHyperBTC/cbBTC ($4.09M, 5.98%) and aHyperBTC/cbBTC ($3.11M); strategy = 42% of vault"
2026-09-21,"Morpho V2 ""Hyperithm USDC Apex"" (0x7899…F371)",Monad,borrowed dollars deployed,USDC,3988156,3988156,,0,,,,Morpho API userByAddress 2026-09-21/22,"netAPY 7.10%; allocation 09-22: PT-USDat-14JAN2027/USDC $18.84M, aHYPER/USDC $18.48M (Hyperithm Delta Neutral Vault loopers), aHyperBTC/USDC $1.72M; API liquidity $0"
2026-09-21,"Morpho V2 ""StableEarn"" (gtusdtb, 0xb7Df…5c08)",Stable,borrowed dollars deployed,USDT0,5811455,5811455,,0,,,,Morpho API userByAddress 2026-09-21/22,netAPY 7.36%; lends to sthUSD/USDT0 (91-95% util); vault idle ~$5-11M
2026-09-21,"Morpho V2 ""Pendle Ecosystem USDC"" (0x55C1…6f05)",Ethereum,borrowed dollars deployed,USDC,992760,992760,,0,,,,Morpho API userByAddress 2026-09-21/22,netAPY 7.12%; lends to PT-reUSD/PT-sUSDS/PT-sUSDE/PT-USDG loops; vault liquidity $10.2M
2026-09-21 22:07 UTC,cex_1 (name withheld by Midas),CEX,residual CEX balance,n/a,,413683,,0,,,,api-prod.midas.app/api/transparency?token=mHyperBTC,1.35% of NAV
2026-06-15 14:00,binance_exch (1Token report inside Midas PoR attestation),CEX,gross book,mixed (not disclosed),,52676000,mixed,29659000,0.563,,,"Midas Attestation Engine PoR, IPFS (raw/por/)",liabilities/assets of that venue line; 1Token coverage partial before 2026-08-10
2026-06-22 13:00,binance_exch (1Token report inside Midas PoR attestation),CEX,gross book,mixed (not disclosed),,50282000,mixed,30292000,0.6024,,,"Midas Attestation Engine PoR, IPFS (raw/por/)",liabilities/assets of that venue line; 1Token coverage partial before 2026-08-10
2026-06-22 13:00,gt_exch (1Token report inside Midas PoR attestation),CEX,gross book,mixed (not disclosed),,5010000,mixed,2399000,0.4788,,,"Midas Attestation Engine PoR, IPFS (raw/por/)",liabilities/assets of that venue line; 1Token coverage partial before 2026-08-10
2026-06-29 12:00,binance_exch (1Token report inside Midas PoR attestation),CEX,gross book,mixed (not disclosed),,56691000,mixed,36263000,0.6397,,,"Midas Attestation Engine PoR, IPFS (raw/por/)",liabilities/assets of that venue line; 1Token coverage partial before 2026-08-10
2026-07-06 11:00,aave (1Token report inside Midas PoR attestation),on-chain,gross book,mixed (not disclosed),,1881750,mixed,1029675,0.5472,,,"Midas Attestation Engine PoR, IPFS (raw/por/)",liabilities/assets of that venue line; 1Token coverage partial before 2026-08-10
2026-07-06 11:00,cex_1 (1Token report inside Midas PoR attestation),CEX,gross book,mixed (not disclosed),,20864282,mixed,0,0.0,,,"Midas Attestation Engine PoR, IPFS (raw/por/)",liabilities/assets of that venue line; 1Token coverage partial before 2026-08-10
2026-07-13 10:00,cex_1 (1Token report inside Midas PoR attestation),CEX,gross book,mixed (not disclosed),,20783829,mixed,0,0.0,,,"Midas Attestation Engine PoR, IPFS (raw/por/)",liabilities/assets of that venue line; 1Token coverage partial before 2026-08-10
2026-07-13 10:00,morpho (1Token report inside Midas PoR attestation),on-chain,gross book,mixed (not disclosed),,2820132,mixed,1030777,0.3655,,,"Midas Attestation Engine PoR, IPFS (raw/por/)",liabilities/assets of that venue line; 1Token coverage partial before 2026-08-10
2026-07-20 10:00,cex_1 (1Token report inside Midas PoR attestation),CEX,gross book,mixed (not disclosed),,13368349,mixed,0,0.0,,,"Midas Attestation Engine PoR, IPFS (raw/por/)",liabilities/assets of that venue line; 1Token coverage partial before 2026-08-10
2026-07-27 09:00,aave (1Token report inside Midas PoR attestation),on-chain,gross book,mixed (not disclosed),,683729,mixed,375181,0.5487,,,"Midas Attestation Engine PoR, IPFS (raw/por/)",liabilities/assets of that venue line; 1Token coverage partial before 2026-08-10
2026-07-27 09:00,cex_1 (1Token report inside Midas PoR attestation),CEX,gross book,mixed (not disclosed),,12560976,mixed,0,0.0,,,"Midas Attestation Engine PoR, IPFS (raw/por/)",liabilities/assets of that venue line; 1Token coverage partial before 2026-08-10
2026-08-03 14:00,aave (1Token report inside Midas PoR attestation),on-chain,gross book,mixed (not disclosed),,662277,mixed,375455,0.5669,,,"Midas Attestation Engine PoR, IPFS (raw/por/)",liabilities/assets of that venue line; 1Token coverage partial before 2026-08-10
2026-08-03 14:00,cex_1 (1Token report inside Midas PoR attestation),CEX,gross book,mixed (not disclosed),,8986668,mixed,0,0.0,,,"Midas Attestation Engine PoR, IPFS (raw/por/)",liabilities/assets of that venue line; 1Token coverage partial before 2026-08-10
2026-08-10 11:00,aave (1Token report inside Midas PoR attestation),on-chain,gross book,mixed (not disclosed),,2034454,mixed,1054905,0.5185,,,"Midas Attestation Engine PoR, IPFS (raw/por/)",liabilities/assets of that venue line; 1Token coverage partial before 2026-08-10
2026-08-10 11:00,cex_1 (1Token report inside Midas PoR attestation),CEX,gross book,mixed (not disclosed),,7917135,mixed,0,0.0,,,"Midas Attestation Engine PoR, IPFS (raw/por/)",liabilities/assets of that venue line; 1Token coverage partial before 2026-08-10
2026-08-18 12:00,aave (1Token report inside Midas PoR attestation),on-chain,gross book,mixed (not disclosed),,2683653,mixed,1470498,0.5479,,,"Midas Attestation Engine PoR, IPFS (raw/por/)",liabilities/assets of that venue line; 1Token coverage partial before 2026-08-10
2026-08-18 12:00,cex_1 (1Token report inside Midas PoR attestation),CEX,gross book,mixed (not disclosed),,5736594,mixed,0,0.0,,,"Midas Attestation Engine PoR, IPFS (raw/por/)",liabilities/assets of that venue line; 1Token coverage partial before 2026-08-10
2026-08-18 12:00,morpho (1Token report inside Midas PoR attestation),on-chain,gross book,mixed (not disclosed),,14877994,mixed,889008,0.0598,,,"Midas Attestation Engine PoR, IPFS (raw/por/)",liabilities/assets of that venue line; 1Token coverage partial before 2026-08-10
2026-08-24 12:00,aave (1Token report inside Midas PoR attestation),on-chain,gross book,mixed (not disclosed),,9515248,mixed,5130354,0.5392,,,"Midas Attestation Engine PoR, IPFS (raw/por/)",liabilities/assets of that venue line; 1Token coverage partial before 2026-08-10
2026-08-24 12:00,cex_1 (1Token report inside Midas PoR attestation),CEX,gross book,mixed (not disclosed),,361012,mixed,0,0.0,,,"Midas Attestation Engine PoR, IPFS (raw/por/)",liabilities/assets of that venue line; 1Token coverage partial before 2026-08-10
2026-08-24 12:00,cex_2 (1Token report inside Midas PoR attestation),CEX,gross book,mixed (not disclosed),,5003814,mixed,0,0.0,,,"Midas Attestation Engine PoR, IPFS (raw/por/)",liabilities/assets of that venue line; 1Token coverage partial before 2026-08-10
2026-08-24 12:00,morpho (1Token report inside Midas PoR attestation),on-chain,gross book,mixed (not disclosed),,25182122,mixed,8433494,0.3349,,,"Midas Attestation Engine PoR, IPFS (raw/por/)",liabilities/assets of that venue line; 1Token coverage partial before 2026-08-10
2026-08-31 14:00,aave (1Token report inside Midas PoR attestation),on-chain,gross book,mixed (not disclosed),,9810475,mixed,5333016,0.5436,,,"Midas Attestation Engine PoR, IPFS (raw/por/)",liabilities/assets of that venue line; 1Token coverage partial before 2026-08-10
2026-08-31 14:00,cex_1 (1Token report inside Midas PoR attestation),CEX,gross book,mixed (not disclosed),,357887,mixed,0,0.0,,,"Midas Attestation Engine PoR, IPFS (raw/por/)",liabilities/assets of that venue line; 1Token coverage partial before 2026-08-10
2026-08-31 14:00,cex_2 (1Token report inside Midas PoR attestation),CEX,gross book,mixed (not disclosed),,5009498,mixed,0,0.0,,,"Midas Attestation Engine PoR, IPFS (raw/por/)",liabilities/assets of that venue line; 1Token coverage partial before 2026-08-10
2026-08-31 14:00,morpho (1Token report inside Midas PoR attestation),on-chain,gross book,mixed (not disclosed),,24938292,mixed,8437619,0.3383,,,"Midas Attestation Engine PoR, IPFS (raw/por/)",liabilities/assets of that venue line; 1Token coverage partial before 2026-08-10
2026-09-07 11:00,cex_1 (1Token report inside Midas PoR attestation),CEX,gross book,mixed (not disclosed),,365446,mixed,0,0.0,,,"Midas Attestation Engine PoR, IPFS (raw/por/)",liabilities/assets of that venue line; 1Token coverage partial before 2026-08-10
2026-09-07 11:00,cex_2 (1Token report inside Midas PoR attestation),CEX,gross book,mixed (not disclosed),,5015429,mixed,0,0.0,,,"Midas Attestation Engine PoR, IPFS (raw/por/)",liabilities/assets of that venue line; 1Token coverage partial before 2026-08-10
2026-09-07 11:00,morpho (1Token report inside Midas PoR attestation),on-chain,gross book,mixed (not disclosed),,25108072,mixed,8363595,0.3331,,,"Midas Attestation Engine PoR, IPFS (raw/por/)",liabilities/assets of that venue line; 1Token coverage partial before 2026-08-10
2026-09-07 11:00,spark (1Token report inside Midas PoR attestation),on-chain,gross book,mixed (not disclosed),,10219855,mixed,5900653,0.5774,,,"Midas Attestation Engine PoR, IPFS (raw/por/)",liabilities/assets of that venue line; 1Token coverage partial before 2026-08-10
2026-09-14 12:00,cex_1 (1Token report inside Midas PoR attestation),CEX,gross book,mixed (not disclosed),,361929,mixed,0,0.0,,,"Midas Attestation Engine PoR, IPFS (raw/por/)",liabilities/assets of that venue line; 1Token coverage partial before 2026-08-10
2026-09-14 12:00,morpho (1Token report inside Midas PoR attestation),on-chain,gross book,mixed (not disclosed),,21885224,mixed,4947962,0.2261,,,"Midas Attestation Engine PoR, IPFS (raw/por/)",liabilities/assets of that venue line; 1Token coverage partial before 2026-08-10
2026-09-14 12:00,spark (1Token report inside Midas PoR attestation),on-chain,gross book,mixed (not disclosed),,10367089,mixed,5950249,0.574,,,"Midas Attestation Engine PoR, IPFS (raw/por/)",liabilities/assets of that venue line; 1Token coverage partial before 2026-08-10
2026-09-21 14:00,cex_1 (1Token report inside Midas PoR attestation),CEX,gross book,mixed (not disclosed),,407658,mixed,0,0.0,,,"Midas Attestation Engine PoR, IPFS (raw/por/)",liabilities/assets of that venue line; 1Token coverage partial before 2026-08-10
2026-09-21 14:00,morpho (1Token report inside Midas PoR attestation),on-chain,gross book,mixed (not disclosed),,24562729,mixed,5801000,0.2362,,,"Midas Attestation Engine PoR, IPFS (raw/por/)",liabilities/assets of that venue line; 1Token coverage partial before 2026-08-10
2026-09-21 14:00,spark (1Token report inside Midas PoR attestation),on-chain,gross book,mixed (not disclosed),,9699598,mixed,4955671,0.5109,,,"Midas Attestation Engine PoR, IPFS (raw/por/)",liabilities/assets of that venue line; 1Token coverage partial before 2026-08-10
2025-12-01 00:00 UTC,TOTAL identified on-chain,all,summary,BTC posted,0.0,0,USD debt vs BTC,0,,,,raw/balance_sheet_daily.csv,NAV 25.0 BTC; BTC lent 0.0; USD vaults $0.00M; stable-collateral loops $0.00M debt; unidentified (CEX/other) 25.0 BTC-eq
2026-01-01 00:00 UTC,Katana Morpho vbWBTC/vbUSDC+vbUSDT,Katana,BTC collateral + dollar loan,BTC wrappers,58.787,5144736,USD stables,3304440,0.6423,,,Morpho API position history / Aave-Spark archive reads (raw/balance_sheet_daily.csv),BTC price DefiLlama daily 87515
2026-01-01 00:00 UTC,Monad Morpho (BTC collateral -> USD),Monad,BTC collateral + dollar loan,BTC wrappers,34.01,2976394,USD stables,1930363,0.6486,,,Morpho API position history / Aave-Spark archive reads (raw/balance_sheet_daily.csv),BTC price DefiLlama daily 87515; Monad lines also carry BTC-denominated debt 0.0 cbBTC
2026-01-01 00:00 UTC,TOTAL identified on-chain,all,summary,BTC posted,92.797,8121129,USD debt vs BTC,5234803,0.6446,,,raw/balance_sheet_daily.csv,NAV 203.3 BTC; BTC lent 0.0; USD vaults $1.30M; stable-collateral loops $0.00M debt; unidentified (CEX/other) 112.0 BTC-eq
2026-02-01 00:00 UTC,Katana Morpho vbWBTC/vbUSDC+vbUSDT,Katana,BTC collateral + dollar loan,BTC wrappers,231.036,18165914,USD stables,11419331,0.6286,,,Morpho API position history / Aave-Spark archive reads (raw/balance_sheet_daily.csv),BTC price DefiLlama daily 78628
2026-02-01 00:00 UTC,Ethereum Morpho (BTC collateral markets),Ethereum,BTC collateral + dollar loan,BTC wrappers,118.209,9294514,USD stables,6095621,0.6558,,,Morpho API position history / Aave-Spark archive reads (raw/balance_sheet_daily.csv),BTC price DefiLlama daily 78628
2026-02-01 00:00 UTC,Monad Morpho (BTC collateral -> USD),Monad,BTC collateral + dollar loan,BTC wrappers,48.226,3791890,USD stables,2466620,0.6505,,,Morpho API position history / Aave-Spark archive reads (raw/balance_sheet_daily.csv),BTC price DefiLlama daily 78628; Monad lines also carry BTC-denominated debt 0.0 cbBTC
2026-02-01 00:00 UTC,TOTAL identified on-chain,all,summary,BTC posted,397.471,31252318,USD debt vs BTC,19981571,0.6394,,,raw/balance_sheet_daily.csv,NAV 515.1 BTC; BTC lent 0.0; USD vaults $9.92M; stable-collateral loops $1.06M debt; unidentified (CEX/other) 217.7 BTC-eq
2026-02-05 00:00 UTC,Katana Morpho vbWBTC/vbUSDC+vbUSDT,Katana,BTC collateral + dollar loan,BTC wrappers,244.058,15313400,USD stables,11455695,0.7481,,,Morpho API position history / Aave-Spark archive reads (raw/balance_sheet_daily.csv),BTC price DefiLlama daily 62745
2026-02-05 00:00 UTC,Ethereum Morpho (BTC collateral markets),Ethereum,BTC collateral + dollar loan,BTC wrappers,147.815,9274665,USD stables,6948909,0.7492,,,Morpho API position history / Aave-Spark archive reads (raw/balance_sheet_daily.csv),BTC price DefiLlama daily 62745
