date,event,type,source
2024-11-19,"Core activates dual-staking tiers (gradeActive=1); first table 2024-11-20: Satoshi tier 8,000 CORE/BTC at 1000%",core_protocol,"Core BitcoinAgent 0x...1013 paramChange(""grades"") logs via rpc.coredao.org (scripts/core_logs.py, rlp_grades.py)"
2025-02-06,First Core BTC stake + 400k CORE delegation by the Maple-attributed address cluster (0xfd818e35...),onchain,On-chain: Core rpc.coredao.org events + scan.coredao.org API (scripts/)
2025-02-17,"CoinDesk: Core joins Maple, BitGo, Copper, Hex Trust; Maple existing product has 90-day lock, 5%+ target; lstBTC (liquid) planned with lower yield",partnership,https://www.coindesk.com/business/2025/02/17/bitcoin-staking-platform-core-joins-crypto-lender-maple-and-custodians-bitgo-copper-hex-trust
2025-02-20,"lstBTC announced (Consensus Hong Kong) - Core Foundation with Maple (yield manager), BitGo, Copper, Hex Trust (custodians)",partnership,https://www.globenewswire.com/news-release/2025/02/20/3029997/0/en/Maple-Finance-BitGo-Copper-and-Hex-Trust-Launch-lstBTC-on-Core-Unlocking-Institutional-Bitcoin-Yield.html
2025-02-27,"Master Trading Agreement Maple SPC <-> Core Foundation (CORE put options; Core as put writer). Same day Core doubles Satoshi tier 8,000->16,000 CORE/BTC",contract/core_protocol,"https://judicial.ky/n0c-storage/judgments-repository2/FSD0268202512022025COREFOUNDATIONMAPLE.pdf ; Core BitcoinAgent 0x...1013 paramChange(""grades"") logs via rpc.coredao.org (scripts/core_logs.py, rlp_grades.py)"
2025-03-27,"Maple creates off-chain pool record ""BTC Yield"" (Maple Direct; Institutional Custody; Target APY 4-6%; bimonthly maturity; 2-week notice)",product,Maple GraphQL poolMeta(id 67e542004191822941f9e703)
2025-04-03,"Core raises Satoshi tier to 24,000 CORE/BTC; 04-08 multiplier 400%",core_protocol,"Core BitcoinAgent 0x...1013 paramChange(""grades"") logs via rpc.coredao.org (scripts/core_logs.py, rlp_grades.py)"
2025-04-30,"Maple: April record month, 5.6% net APY, 1,600+ BTC staked to Core",disclosure,https://x.com/maplefinance/status/1917628219223859367
2025-05-02,"Core blog: >1,600 BTC deposits, 5.6% APY since launch; monthly transparency reports, wallet-level attestations",disclosure,https://coredao.org/blog/maple-core-bitcoin-yield-product
2025-05-14,"On-chain peak of attributed BTC staked on Core: 1,757.85 BTC (~24% of Core BTC staking)",onchain,On-chain: Core rpc.coredao.org events + scan.coredao.org API (scripts/)
