product,how,yield_btc,run_by,url
Kraken Bitcoin Vault (Advanced Strategies BTC),"kBTC on Morpho (RLUSD, PYUSD, LTV 64%); 67% of the kBTC debt into Sentora Vault V2s, 33% into Hastra PRIME; WBTC legs on Aave and Morpho; no recursion on BTC",1.03 (September) to 1.41 (since launch),Sentora,https://www.kraken.com/bitcoin-vault
Lombard Vaults (LBTCv / BTCe),"Sentora-managed vault: LBTC lent in DeFi money markets and, since July 2026, posted as slashable cover for Flow Traders' stablecoin loan on Cap, for a fee.",0.98 realized over a year (LBTCv); about 1.5 net on the credit leg,Lombard; managed by Sentora,https://docs.lombard.finance/use/bitcoin-earn
ether.fi Liquid BTC,"WBTC and cbBTC on Spark, borrows PYUSD and USDC at about 60% LTV, deploys into stcUSD and Sentora PYUSD vault",1.96 realized (1y),Nonce,https://etherfi.gitbook.io/etherfi/products/liquid/live-vaults/liquid-btc-vault
Bitget bgBTC Onchain Earn,"bgBTC into Aera (Gauntlet): $43M USDC borrowed (21 Sep) on Morpho on Morph, parked in Gauntlet USDC (gtusdc), which lends back to the same market",2.34 realized (users get 1.70),Gauntlet,https://blog.redstone.finance/2026/07/31/redstone-powers-btc-yield-for-the-bitget-ecosystem-on-morph/
Hermetica hBTC,"Was: sBTC on Zest at 50% LTV, borrowing USDh into sUSDh. Unwound 18 June 2026; idle sBTC since",about 1 now (4.9 in May),Hermetica,https://docs.hermetica.fi/hbtc/overview
Mezo Earn (veBTC),"BTC locked on Mezo for 1 to 28 days as veBTC; lockers vote and earn a share of bridge, swap and MUSD loan fees, paid mostly in MUSD; MEZO boosts up to 5x","2.8 now (2.79 paid in MUSD), 3.0 over 30 days (Sep 2026)",Mezo,https://mezo.org/docs/users/mezo-earn/overview
Acre acreBTC,"BTC to tBTC to macreBTC1 (Re7 via Midas) to mRe7BTC, and a borrow leg into mRe7YIELD",minus 1.24 realized,Re7 Labs,https://docs.acre.fi/start-here-acrebtc-vault-transition/what-happened-the-vault-strategy
Tesseract TESS wBTC debt-loop vaults (IPOR Fusion),"WBTC to USDC on Morpho, into a recursive sUSDe/PYUSD loop",negative carry now (2 to 4 target),Tesseract (MiCA CASP),https://tesseract.fi/vaults/
Midas mHyperBTC (Hyperithm),"NAV token; its wallet posts cbBTC on Morpho and Spark and borrows USDT and USDS into Morpho dollar vaults, plus exchange and lending sleeves",about 3.2 since the first mint (Nov 2025); 1.65 over the last 90 days,Hyperithm,https://www.coingecko.com/en/coins/midas-hyperithm-btc
Upshift (BTC vaults),"Curated BTC vaults on Upshift: mainly Sentora BTC and Gamma BTC, which borrow dollars against the BTC and invest them; a small UBTC vault is withdrawal-only","0.8 (Sentora BTC) and 4.7 (Gamma BTC) over 30 days (Upshift API, Sep 2026)",Upshift (August Digital); curators Sentora and Gamma,https://app.upshift.finance
Zest v2 (sBTC supply),"sBTC (BTC bridged to Stacks) lent to borrowers on Zest: their interest, plus STX incentives worth 0.5 BTC a month, shared with borrowers, until 10 Dec 2026",0.1 interest + about 0.6 in STX (Sep 2026),Zest Protocol,https://www.zestprotocol.com/
Concrete (BTC vaults),"WBTC in Concrete's managed WBTC vault on Ethereum, deployed through one strategy contract; Concrete's $38M Berachain BTC vaults (0%) are not counted","0.6 now, 1.7 over 30 days (Sep 2026)",Concrete,https://app.concrete.xyz
Yield Basis,"Your BTC plus an equal crvUSD loan from Curve's credit line in a 2x BTC/crvUSD Curve pool; the loss against the market price is hidden in book value, not removed","about −9 to +2 a year unstaked (−3 to +0.6 over 118 days); stakers paid 4 to 6 in YB, down 87%",Protocol (Egorov),https://yieldbasis.com/
Solv Strategies,"SolvBTC in Solv's per-chain vaults: BNB farming via a BNB loan (330 BTC), Avalanche RWA yield (202), Starknet staking (199) and Berachain rewards (115)",5 to 8 target,Solv Protocol,https://solv.finance
Solv Basis Trading (SolvBTC.TRADING),"SolvBTC goes into Solv's multi-strategy vault (the renamed Ethena vault SolvBTC.ENA), used across DeFi, exchanges and off-chain deals; mix undisclosed.",,Solv Protocol,https://docs.solv.finance/key-products/solv-vaults-lsts/breakdown-of-solv-vaults
Starboard Sygnum BTC Alpha Fund,"Cayman fund keeps investors' BTC and adds market-neutral arbitrage between spot and derivatives markets (perps, futures, options); returns are paid in BTC.",8.9 net annualised (Q4 2025); 8 to 10 target,Starboard Digital Strategies with Sygnum Bank,https://www.sygnum.com/asset-management/btc-alpha-fund/
Syntetika hBTC (Hilbert BTC Basis+),"cbBTC buys shares of a regulated Hilbert fund that trades BTC basis, futures-curve gaps and sold options, with an attested NAV; exits take 1 to 3 weeks.","20.2 net (fund, 2025); about 1.5 a year on-chain since the vault opened (Jul to Sep 2026)","Hilbert Capital (Hilbert Group); platform Syntetika, curator Tulipa",https://syntetika.io/faq
