product,slug,category_code,category_name,subcategory,tvl_usd,tvl_btc,source,method,offchain,double_count_note,include_net,justification
Kraken Bitcoin Vault (Advanced Strategies BTC),kraken-bitcoin-vault,C1,BTC collateral + USD loan -> strategy (carry),Curated carry vault (Veda/Sentora),527064401,6492.7,on-chain (Ink BoringVault) 2026-09-20; DefiLlama slug shows 0 (ignored),on-chain,0,Veda (Ink KBTC) and Sentora-curator KBTC are the same vault: excluded there. Possible overlap with Kraken Babylon stake not verifiable.,1,kBTC collateral on Morpho/Aave -> RLUSD/PYUSD/USDT debt -> Sentora V2 + Hastra PRIME: dollar loan against BTC.
Yield Basis,yield-basis,C1,BTC collateral + USD loan -> strategy (carry),Leveraged BTC/crvUSD LP (hybrid),107658264,1326.2,"on-chain depositor equity (LT pricePerShare x supply, all BTC markets v1-v3) 2026-09-20 12:00; history = month-end book value (yieldbasis/tvl_monthly.csv). DefiLlama BTC-token TVL counts the gross LP (incl. borrowed crvUSD side) and is not used",on-chain,0,,1,"User BTC + protocol-borrowed crvUSD -> 2x BTC/crvUSD Curve LP; dollar debt under BTC => C1 (hybrid LP, per plan rule)."
Bitget bgBTC Onchain Earn,aera-v3,C1,BTC collateral + USD loan -> strategy (carry),"Curated carry vault (Gauntlet Aera, Morpho on Morph)",65080403,801.7,on-chain: 801.7 bgBTC in Morpho on Morph; = DefiLlama aera-v3 BGBTC 801.6 units,on-chain,0,Same as DefiLlama aera-v3 BGBTC; bgBTC wrapper excluded.,1,bgBTC -> USDC loan on Morpho (Morph) -> Gauntlet USDC Prime: dollar loan against BTC.
Midas mHyperBTC (Hyperithm),midas-rwa,C1,BTC collateral + USD loan -> strategy (carry),NAV token: cbBTC collateral -> USDT/USDS loan -> Hyperithm USD strategies,28746753,354.12,"Midas oracle NAV 1.02606813 x supply 345.12 (Ethereum 284.07, Monad 57.07, Rootstock 3.98), 2026-09-21; history = month-end supply x NAV (mhyperbtc/tvl_monthly.csv)",on-chain,0,,1,"Strategy wallet posts cbBTC on Morpho/Spark, borrows USDT/USDS and deploys the dollars (Midas transparency API) => C1 (was C3)."
ether.fi Liquid BTC,ether.fi-liquid,C1,BTC collateral + USD loan -> strategy (carry),"Curated carry vault (Veda, Nonce)",18797578,231.56,on-chain: 223.90 shares (Ethereum 133.61 + Optimism 90.28) x accountant rate 1.03425 at 2026-09-20; history = month-end NAV rebuilt from positions (etherfi/tvl_monthly.csv),on-chain,0,"ether.fi-liquid WBTC (DefiLlama) covers the same vault.; C6 in 2025-06..07: no stablecoin debt, points-only book (Corn, Berachain)",1,WBTC/cbBTC on Spark -> PYUSD/USDC -> Cap stcUSD + Sentora: dollar loan against BTC. Only the BTC vault of ether.fi Liquid is counted.
Hermetica hBTC,hermetica-hbtc,C1,BTC collateral + USD loan -> strategy (carry),sBTC collateral -> USDh (wound down),3811469,46.95,DefiLlama /protocol/hermetica-hbtc (2026-09-20 00:00 UTC point),total,0,strategy wound down 18.06.2026; deposits closed 24.08.2026,1,BTC -> sBTC -> Zest collateral -> USDh -> sUSDh: dollar (USDh) loan against BTC. Historical C1; now ~1% and closing.
Tesseract TESS wBTC debt-loop vaults (IPOR Fusion),fusion-by-ipor,C1,BTC collateral + USD loan -> strategy (carry),Institutional carry vaults,1176652,14.49,DefiLlama yields pools (2026-09-20),yields-pools,0,,1,WBTC -> USDC loan on Morpho/Aave -> sUSDe/PYUSD/wsrUSD loops: dollar loan against BTC.
BTCD Labs / TAU BTC dollar-carry vaults (IPOR Fusion),fusion-by-ipor,C1,BTC collateral + USD loan -> strategy (carry),Carry vaults (small),534557,6.58,DefiLlama yields pools (2026-09-20),yields-pools,0,,1,"WBTC collateral -> stablecoin debt -> yield (""wBTC Dollar Carry"", ""TAU InfiniFi BTC Carry"")."
Acre acreBTC,acre,C1,BTC collateral + USD loan -> strategy (carry),tBTC -> Midas mRe7 (closed),294712,3.63,DefiLlama /protocol/acre (2026-09-20 00:00 UTC point),token-breakdown,0,closed; realized -1.24%,1,BTC -> tBTC -> macreBTC1 / borrow -> mRe7YIELD: historical dollar-carry case (per plan list).
Maple BTC Yield,maple,C1,BTC collateral + USD loan -> strategy (carry),Custodial collateral -> USDC -> Core dual staking,0,0.0,"on-chain reconstruction (Core CLTV stakes of the Maple cluster + Bitcoin hub payouts); history = max(staked on 1st of next month, mid-month) to smooth maturity rolls; 0 from 2025-11",on-chain,0,"wound down 11-2025: 85% of BTC principal returned, 15% held back until the May-2026 settlement",1,BTC at Copper/BitGo as collateral -> USDC -> CORE + hedge -> Core dual staking: dollar loan against BTC. Size unmeasured (blank).
