period,realized_apy,core_staking_apr,core_price,notes,source
2025-02 (launch),target 5%+ (90-day lock),0.00,0.5287,"Product live Feb-2025; first on-chain stake 2025-02-06; Satoshi tier 8,000->16,000 CORE/BTC (2025-02-27), 400%","CoinDesk 2025-02-17 https://www.coindesk.com/business/2025/02/17/bitcoin-staking-platform-core-joins-crypto-lender-maple-and-custodians-bitgo-copper-hex-trust ; ON-CHAIN ESTIMATE: CORE rewards claimed by attributed addresses (BitcoinAgent/CoreAgent claim events) x CORE/USD on claim date / (BTC staked x BTC/USD), annualised; claims are lumpy; excludes put payoffs, CORE inventory P&L, USDC borrow cost, fees (scripts/maple_yield_model.py)"
2025-03,target 4-6% (pool card),0.18,0.4448,"Pool metadata created 2025-03-27: Target APY 4-6%, benchmarkApy 5, bimonthly maturity; 16,000 CORE/BTC; multiplier 625%->230%","Maple GraphQL poolMeta(67e542004191822941f9e703) https://api.maple.finance/v2/graphql ; ON-CHAIN ESTIMATE: CORE rewards claimed by attributed addresses (BitcoinAgent/CoreAgent claim events) x CORE/USD on claim date / (BTC staked x BTC/USD), annualised; claims are lumpy; excludes put payoffs, CORE inventory P&L, USDC borrow cost, fees (scripts/maple_yield_model.py)"
2025-04,5.6% net (April),1.57,0.5894,"""April was a record month ... 5.6% net APY, returned in BTC""; 24,000 CORE/BTC (2025-04-03); 230%->400% (04-08)","https://x.com/maplefinance/status/1917628219223859367 ; ON-CHAIN ESTIMATE: CORE rewards claimed by attributed addresses (BitcoinAgent/CoreAgent claim events) x CORE/USD on claim date / (BTC staked x BTC/USD), annualised; claims are lumpy; excludes put payoffs, CORE inventory P&L, USDC borrow cost, fees (scripts/maple_yield_model.py)"
2025-05,5.6% since launch,3.92,0.7925,"Core blog: ""5.6% APY in native Bitcoin since launch""; 24,000 CORE/BTC; 400%","https://coredao.org/blog/maple-core-bitcoin-yield-product ; ON-CHAIN ESTIMATE: CORE rewards claimed by attributed addresses (BitcoinAgent/CoreAgent claim events) x CORE/USD on claim date / (BTC staked x BTC/USD), annualised; claims are lumpy; excludes put payoffs, CORE inventory P&L, USDC borrow cost, fees (scripts/maple_yield_model.py)"
2025-06,5.1-5.6% range; 5.3% since launch; Q2 5.2% net,1.98,0.5847,"OAK 2025-06-23 (target 3-5%); Maple Q2 2025 update 5.2% net APY; 24,000->29,000 CORE/BTC (06-13); 250%/600%/450%/325%","https://oakresearch.io/en/analyses/fundamentals/maple-bitcoin-yield-presentation-comparison-outlook ; https://maple.finance/insights/q2-2025-maple-market-update ; ON-CHAIN ESTIMATE: CORE rewards claimed by attributed addresses (BitcoinAgent/CoreAgent claim events) x CORE/USD on claim date / (BTC staked x BTC/USD), annualised; claims are lumpy; excludes put payoffs, CORE inventory P&L, USDC borrow cost, fees (scripts/maple_yield_model.py)"
2025-H1 (to 2025-07-07),5.13%,,0.6503,bitcoin.com: 5.13% APY paid in BTC,https://news.bitcoin.com/maple-finance-delivers-5-13-native-bitcoin-yield-with-institutional-grade-security/
2025-07,not disclosed,1.60,0.5404,"34,000 CORE/BTC (07-15); 500%; CORE leg raised to 50.5M CORE (=1,485 BTC x 34,000)","ON-CHAIN ESTIMATE: CORE rewards claimed by attributed addresses (BitcoinAgent/CoreAgent claim events) x CORE/USD on claim date / (BTC staked x BTC/USD), annualised; claims are lumpy; excludes put payoffs, CORE inventory P&L, USDC borrow cost, fees (scripts/maple_yield_model.py)"
2025-08,not disclosed,0.55,0.479,"34,000; 500%; one identifiable lender address received 0.3077 BTC from the hub (implied principal ~25.1 BTC; accrual period unknown)","ON-CHAIN ESTIMATE: CORE rewards claimed by attributed addresses (BitcoinAgent/CoreAgent claim events) x CORE/USD on claim date / (BTC staked x BTC/USD), annualised; claims are lumpy; excludes put payoffs, CORE inventory P&L, USDC borrow cost, fees (scripts/maple_yield_model.py); mempool.space hub tx history"
2025-09,not disclosed,1.52,0.4301,"34,000; 500%; same lender received 0.0662 BTC; 2025-09-26 ex parte injunction freezes CORE dealings; puts due 2025-09-30 not paid by Core","ON-CHAIN ESTIMATE: CORE rewards claimed by attributed addresses (BitcoinAgent/CoreAgent claim events) x CORE/USD on claim date / (BTC staked x BTC/USD), annualised; claims are lumpy; excludes put payoffs, CORE inventory P&L, USDC borrow cost, fees (scripts/maple_yield_model.py); [2025] CIGC (FSD) 105 and FSD 2025-0268 judgment of 10 Oct 2025 (judicial.ky)"
2025-10,not disclosed,2.19,0.2861,"34,000; 500%; same lender received 0.045 BTC; 584.047 BTC matured 10-15 but only 120.99 BTC withdrawn","ON-CHAIN ESTIMATE: CORE rewards claimed by attributed addresses (BitcoinAgent/CoreAgent claim events) x CORE/USD on claim date / (BTC staked x BTC/USD), annualised; claims are lumpy; excludes put payoffs, CORE inventory P&L, USDC borrow cost, fees (scripts/maple_yield_model.py)"
2025-11,NEGATIVE: lenders repaid 85% of BTC principal; 15% withheld,1.98,0.1764,"68,000 CORE/BTC (11-11); 500%; Maple 2025-11-21: ""return 85% of BTC principal ... remaining 15% retained""; on-chain: 1,133.69 BTC paid to 66 addresses, 200.09 BTC held",https://x.com/maplefinance/status/1991886803092091268 ; scripts/btc_hub_trace.py
2025-02..2025-11 (whole program),5.1-5.6% disclosed through Jul-2025 (nothing disclosed after); final lender outcome after 15% holdback NOT PUBLIC,1.90 (range 1.9-2.7),0.5273 (BTC-weighted avg),"Total CORE rewards 4.66M CORE (BTC leg 3.05M, CORE leg 1.61M) on 848 BTC-years; gap to 5%+ implies ~3-4 pp/yr came from outside staking (put payoffs by Core Foundation / other) - estimate","ON-CHAIN ESTIMATE: CORE rewards claimed by attributed addresses (BitcoinAgent/CoreAgent claim events) x CORE/USD on claim date / (BTC staked x BTC/USD), annualised; claims are lumpy; excludes put payoffs, CORE inventory P&L, USDC borrow cost, fees (scripts/maple_yield_model.py)"
