step,source,asset_out,amount_native,amount_usd,cumulative_usd,cumulative_pct_of_debt,time_to_cash,mechanism,evidence
0,Debt to repay (Spark v3 variable debt at 2026-09-20 14:00 UTC),PYUSD+USDC,"5,927,393 PYUSD + 4,372,274 USDC",10299667,,,,"Repay to Spark Pool 0xC13e21B6...E987 (onBehalf vault)","balanceOf(variableDebtPYUSD 0x3357...95f9, variableDebtUSDC 0x7B70...0A67) at block 26019182"
1,Idle stablecoins in vault (Ethereum),PYUSD/USDC/USDT/cUSD/RLUSD,"1,898 PYUSD; 115 USDC; 764 USDT; 2,757 cUSD; 63 RLUSD",5597,5597,0.05,same block,direct transfer,"balanceOf at block 26019182"
1b,Idle PYUSD in ITB SupervisedLoanPositionManager 0x11fd...d2 (owner = vault),PYUSD,"3,022 PYUSD",3022,8619,0.08,same block (owner withdraw),ITB Withdrawable.withdraw onlyOwner,"balanceOf; owner() = vault"
2,Sentora 'Paypal USD Main' (Morpho VaultV2 0xb576...9FB2) full redeem,PYUSD,"2,056,256 shares -> 4,154,724 PYUSD",4154724,4163343,40.42,same block,"ERC-4626 redeem; eth_call simulation from vault at snapshot block succeeded; Sentora vault idle PYUSD $21.74M of $435.8M totalAssets","eth_call redeem(shares,vault,vault) block 26019182 -> 4,154,724.16 PYUSD"
3,Cap stcUSD (0x8888...8888) full redeem,cUSD,"5,678,241 stcUSD -> 6,138,784 cUSD",6138784,10302127,100.02,same block,"ERC-4626 redeem, no cooldown (only 24h linear vesting of new profit: lockDuration=86400s, lockedProfit $4,990)","eth_call redeem simulation succeeded; lockDuration() / lockedProfit() at block 26019182"
3b,Cap cUSD burn to USDC (same tx as 3),USDC,"6,138,784 cUSD -> 6,138,776 USDC (fee 0)",6138776,,,same block,"cUSD.burn(asset=USDC); limited by Cap availableBalance(USDC)=$19.77M (utilization 76.6%) - vault would take 31% of available USDC","getBurnAmount(vault,USDC,6.139M) and availableBalance(USDC) at block 26019182"
3c,Currency mismatch fix,USDC->PYUSD,~1.77M USDC,1770000,,,same block (DEX),"Sentora gives 4.155M PYUSD vs 5.927M PYUSD debt; Cap gives 6.139M USDC vs 4.372M USDC debt -> ~$1.77M USDC must be swapped to PYUSD (vault already uses SafeSwapper 0xcbbc...716e / 1inch); slippage NOT measured",vault swap history (SwapExecuted events)
4,Spark collateral released after repay,WBTC/cbBTC,"153.08 WBTC + 54.80 cbBTC (207.88 BTC)",16874000,,,same block after repay,"Spark withdraw; WBTC oracle = Chainlink WBTC/BTC x BTC/USD; cbBTC oracle = Chronicle/Chainlink/RedStone BTC/USD aggregate","spToken balances; getSourceOfAsset"
5,BTC withdrawal buffer (users can only exit in eBTC today),eBTC/WBTC,"13.28 eBTC + 0.96 WBTC (Ethereum); 7.51 eBTC + 1.84 WBTC (Optimism vault)",1900000,,,same block,"BoringOnChainQueue 0x77A2...1Edf: withdrawals allowed only in eBTC (maturity 1h, deadline >=3 days, discount 0-10 bps); WBTC/LBTC/cbBTC withdrawals disabled; larger exits require strategist to deposit WBTC/cbBTC into eBTC (Enter events) first","withdrawAssets(asset) at latest block; balanceOf"
6,Partial de-risk without full repay (HF 1.283 -> 1.2),WBTC/cbBTC,~13 BTC withdrawable,1050000,,,same block,"collateral needed for HF 1.2 = debt x 1.2 / 0.7905 LT = $15.64M = 194.5 BTC at $80.4k",computed from getUserAccountData
