date,event,type,source
2025-12-23,First Merkl PYUSD campaign on Paypal USD Main (creator Sentora Safe 0x4307...1609),incentive,api.merkl.xyz v4 campaigns opp 18030207387280065324
2026-01-26,"Kraken DeFi Earn launches with Veda (US 48 states, Canada, EEA); Chaos Labs + Sentora curators",launch,https://www.theblock.co/post/386908 ; BTC-Carry-Vaults-Dossiers.md
2026-02-26,Vault BoringVault 0x7dee...19b2 deployed on Ink (creation tx 0x163f314b...),launch,Ink RPC / explorer.inkonchain.com
2026-03-05,"First Merkl RLUSD campaign on Sentora RLUSD Main (creator Sentora Safe 0xCc6d...E000); 66,094 RLUSD",incentive,api.merkl.xyz v4 campaigns opp 2433802672589613459
2026-03-09,Veda: Kraken DeFi Earn at $100M,milestone,dossier-kraken.md (Veda post)
2026-03-19,Coinbase Bitcoin Yield Fund goes onchain on Base (non-US) [secondary],competitor,https://www.coindesk.com/business/2026/03/19/coinbase-s-bitcoin-yield-fund-goes-onchain-with-apex-s-tokenization-push
2026-03-24,"Beholder Deposit Match: 10% up to $200 USDT on deposits into Earn vaults from Beholder wallet (to 04-07, hold to 05-05; excl UK/CA/AU)",promo,https://www.kraken.com/legal/beholder-deposit-match-march
2026-04-09,"First vault deposit on Ink (block 42,269,479)",launch,Ink RPC / explorer.inkonchain.com share Transfer logs
2026-04-13,Ink Points Season 1 on Kraken Pro (accrual from 04-06); vault deposits not listed as a points activity,incentive,https://support.kraken.com/articles/ink-points
2026-04-17,"Morpho kBTC/RLUSD and kBTC/PYUSD markets created (LLTV 86%, oracle Chainlink BTC/USD)",product,onchain-kraken/SUMMARY-FROM-AGENT.md
2026-04-18,Kelp DAO $292M exploit; Aave bad-debt exposure; 2 days before vault on-chain start [secondary],negative,https://www.coindesk.com/tech/2026/04/19/2026-s-biggest-crypto-exploit-kelp-dao-hit-for-usd292-million-with-wrapped-ether-stranded-across-20-chains
2026-04-20,First accountant exchange-rate update (1.00000268),launch,Ink RPC / explorer.inkonchain.com accountant ExchangeRateUpdated
2026-05-07,"Veda on X: Kraken vaults $225M, 43,000 active depositors, $1.5M net yield [snippet]",milestone,https://x.com/veda_labs/status/2052463477046784309
2026-05-08,"First borrow by a vault position manager (PYUSD-1 test 52.9k PYUSD, repaid same hour); Sentora PRIME Main PRIME cap 20M",product,Ethereum archive eth_call/eth_getLogs Morpho events; Vault V2 IncreaseAbsoluteCap
2026-05-14,Kraken announces kBTC bridging move from LayerZero to Chainlink CCIP (vault still used LayerZero on 17 Sep),other,https://www.coindesk.com/business/2026/05/14/kraken-to-replace-layerzero-with-chainlink-to-bridge-assets-across-blockchains
2026-05-18,"Sentora V2 caps for kBTC markets set to 30M RLUSD / 30M PYUSD; pre-launch deposits start (week of 18 May: 102 BTC, 2,001 new depositors)",cap,Ethereum archive eth_call/eth_getLogs V2 IncreaseAbsoluteCap; Ink RPC / explorer.inkonchain.com
2026-05-26,"Sentora RLUSD Main performance fee set to 10% (block 25,180,343)",fee,Ethereum archive eth_call/eth_getLogs V2 SetPerformanceFee
2026-05-27,"Public launch: 12:00-22:00 UTC +382 BTC (~$29M at $75.8k) from ~1,940 newly depositing wallets (2,699 cumulative); day-end TVL $47.3M",launch,Ink RPC / explorer.inkonchain.com share Transfer logs (hourly)
2026-05-27,"Kraken blog: Bitcoin Vault live in Kraken app, Pro, web and Krak; ""up to 2.5%""; 5-day withdrawal at launch",launch,https://blog.kraken.com/product/bitcoin-vault/introducing-bitcoin-vault
2026-05-27,"Veda/Cointelegraph: ""$30M in 10 hours from 4,000 wallets""",milestone,https://cointelegraph.com/news/kraken-rolls-out-bitcoin-vault-for-holders-to-earn-yield
2026-05-27,"Veda blog: BTC vault live in 100+ countries; BTC purchase built into deposit flow; DeFi Earn $245M, $2.2M net yield",launch,https://veda.tech/blog/veda-kraken-bringing-bitcoin-earn-to-100-countries
2026-05-27,"Krak app ""BTC Vaults"" launch (US ex NY/ME, EEA, Canada); USDC vaults $180M+ / 38,000 users [secondary]",launch,https://tradeinformer.com/broker-news/kraken-launches-btc-vaults-bitcoin-yield-2026
